type,status,departure,arrival,airline,flight,codeshared
departure,cancelled,"{'iataCode': 'sfo', 'icaoCode': 'ksfo', 'terminal': '2', 'gate': 'c8', 'delay': 95, 'scheduledTime': '2022-12-24t16:00:00.000', 'estimatedTime': '2022-12-24t17:35:00.000'}","{'iataCode': 'lax', 'icaoCode': 'klax', 'terminal': '3', 'gate': '33', 'scheduledTime': '2022-12-24t17:26:00.000'}","{'name': 'air france', 'iataCode': 'af', 'icaoCode': 'afr'}","{'number': '3510', 'iataNumber': 'af3510', 'icaoNumber': 'afr3510'}","{'airline': {'name': 'delta air lines', 'iataCode': 'dl', 'icaoCode': 'dal'}, 'flight': {'number': '2014', 'iataNumber': 'dl2014', 'icaoNumber': 'dal2014'}}"
departure,cancelled,"{'iataCode': 'sfo', 'icaoCode': 'ksfo', 'terminal': '2', 'gate': 'c8', 'delay': 95, 'scheduledTime': '2022-12-24t16:00:00.000', 'estimatedTime': '2022-12-24t17:35:00.000'}","{'iataCode': 'lax', 'icaoCode': 'klax', 'terminal': '3', 'gate': '33', 'scheduledTime': '2022-12-24t17:26:00.000'}","{'name': 'china airlines', 'iataCode': 'ci', 'icaoCode': 'cal'}","{'number': '9009', 'iataNumber': 'ci9009', 'icaoNumber': 'cal9009'}","{'airline': {'name': 'delta air lines', 'iataCode': 'dl', 'icaoCode': 'dal'}, 'flight': {'number': '2014', 'iataNumber': 'dl2014', 'icaoNumber': 'dal2014'}}"
departure,cancelled,"{'iataCode': 'sfo', 'icaoCode': 'ksfo', 'terminal': '2', 'gate': 'c8', 'delay': 95, 'scheduledTime': '2022-12-24t16:00:00.000', 'estimatedTime': '2022-12-24t17:35:00.000'}","{'iataCode': 'lax', 'icaoCode': 'klax', 'terminal': '3', 'gate': '33', 'scheduledTime': '2022-12-24t17:26:00.000'}","{'name': 'korean air', 'iataCode': 'ke', 'icaoCode': 'kal'}","{'number': '7259', 'iataNumber': 'ke7259', 'icaoNumber': 'kal7259'}","{'airline': {'name': 'delta air lines', 'iataCode': 'dl', 'icaoCode': 'dal'}, 'flight': {'number': '2014', 'iataNumber': 'dl2014', 'icaoNumber': 'dal2014'}}"
departure,cancelled,"{'iataCode': 'sfo', 'icaoCode': 'ksfo', 'terminal': '2', 'gate': 'c8', 'delay': 95, 'scheduledTime': '2022-12-24t16:00:00.000', 'estimatedTime': '2022-12-24t17:35:00.000'}","{'iataCode': 'lax', 'icaoCode': 'klax', 'terminal': '3', 'gate': '33', 'scheduledTime': '2022-12-24t17:26:00.000'}","{'name': 'latam airlines', 'iataCode': 'la', 'icaoCode': 'lan'}","{'number': '6679', 'iataNumber': 'la6679', 'icaoNumber': 'lan6679'}","{'airline': {'name': 'delta air lines', 'iataCode': 'dl', 'icaoCode': 'dal'}, 'flight': {'number': '2014', 'iataNumber': 'dl2014', 'icaoNumber': 'dal2014'}}"
departure,cancelled,"{'iataCode': 'sfo', 'icaoCode': 'ksfo', 'terminal': '2', 'gate': 'c8', 'delay': 95, 'scheduledTime': '2022-12-24t16:00:00.000', 'estimatedTime': '2022-12-24t17:35:00.000'}","{'iataCode': 'lax', 'icaoCode': 'klax', 'terminal': '3', 'gate': '33', 'scheduledTime': '2022-12-24t17:26:00.000'}","{'name': 'virgin atlantic', 'iataCode': 'vs', 'icaoCode': 'vir'}","{'number': '1853', 'iataNumber': 'vs1853', 'icaoNumber': 'vir1853'}","{'airline': {'name': 'delta air lines', 'iataCode': 'dl', 'icaoCode': 'dal'}, 'flight': {'number': '2014', 'iataNumber': 'dl2014', 'icaoNumber': 'dal2014'}}"
departure,cancelled,"{'iataCode': 'sfo', 'icaoCode': 'ksfo', 'terminal': '2', 'gate': 'c8', 'delay': 95, 'scheduledTime': '2022-12-24t16:00:00.000', 'estimatedTime': '2022-12-24t17:35:00.000'}","{'iataCode': 'lax', 'icaoCode': 'klax', 'terminal': '3', 'gate': '33', 'scheduledTime': '2022-12-24t17:26:00.000'}","{'name': 'westjet', 'iataCode': 'ws', 'icaoCode': 'wja'}","{'number': '7350', 'iataNumber': 'ws7350', 'icaoNumber': 'wja7350'}","{'airline': {'name': 'delta air lines', 'iataCode': 'dl', 'icaoCode': 'dal'}, 'flight': {'number': '2014', 'iataNumber': 'dl2014', 'icaoNumber': 'dal2014'}}"
departure,cancelled,"{'iataCode': 'sfo', 'icaoCode': 'ksfo', 'terminal': '2', 'gate': 'c8', 'delay': 95, 'scheduledTime': '2022-12-24t16:00:00.000', 'estimatedTime': '2022-12-24t17:35:00.000'}","{'iataCode': 'lax', 'icaoCode': 'klax', 'terminal': '3', 'gate': '33', 'scheduledTime': '2022-12-24t17:26:00.000'}","{'name': 'delta air lines', 'iataCode': 'dl', 'icaoCode': 'dal'}","{'number': '2014', 'iataNumber': 'dl2014', 'icaoNumber': 'dal2014'}",
departure,cancelled,"{'iataCode': 'sfo', 'icaoCode': 'ksfo', 'terminal': '3', 'gate': 'e12', 'scheduledTime': '2022-12-24t16:10:00.000', 'estimatedTime': '2022-12-24t16:10:00.000'}","{'iataCode': 'bur', 'icaoCode': 'kbur', 'terminal': 'b', 'gate': '1', 'scheduledTime': '2022-12-24t17:30:00.000'}","{'name': 'air canada', 'iataCode': 'ac', 'icaoCode': 'aca'}","{'number': '4198', 'iataNumber': 'ac4198', 'icaoNumber': 'aca4198'}","{'airline': {'name': 'united airlines', 'iataCode': 'ua', 'icaoCode': 'ual'}, 'flight': {'number': '1115', 'iataNumber': 'ua1115', 'icaoNumber': 'ual1115'}}"
departure,cancelled,"{'iataCode': 'sfo', 'icaoCode': 'ksfo', 'terminal': '3', 'gate': 'e12', 'scheduledTime': '2022-12-24t16:10:00.000', 'estimatedTime': '2022-12-24t16:10:00.000'}","{'iataCode': 'bur', 'icaoCode': 'kbur', 'terminal': 'b', 'gate': '1', 'scheduledTime': '2022-12-24t17:30:00.000'}","{'name': 'sa avianca', 'iataCode': 'av', 'icaoCode': 'ava'}","{'number': '2352', 'iataNumber': 'av2352', 'icaoNumber': 'ava2352'}","{'airline': {'name': 'united airlines', 'iataCode': 'ua', 'icaoCode': 'ual'}, 'flight': {'number': '1115', 'iataNumber': 'ua1115', 'icaoNumber': 'ual1115'}}"
departure,cancelled,"{'iataCode': 'sfo', 'icaoCode': 'ksfo', 'terminal': '3', 'gate': 'e12', 'scheduledTime': '2022-12-24t16:10:00.000', 'estimatedTime': '2022-12-24t16:10:00.000'}","{'iataCode': 'bur', 'icaoCode': 'kbur', 'terminal': 'b', 'gate': '1', 'scheduledTime': '2022-12-24t17:30:00.000'}","{'name': 'united airlines', 'iataCode': 'ua', 'icaoCode': 'ual'}","{'number': '1115', 'iataNumber': 'ua1115', 'icaoNumber': 'ual1115'}",
