,Airport,Latitude,Longitude,Airport Code,Count
0,Denver International Airport,39.85891,-104.67326,den,9
1,Los Angeles International Airport,33.94251,-118.40897,lax,29
2,Vancouver International Airport,49.19489,-123.17923,yvr,5
3,Burbank Bob Hope Airport,34.20056,-118.35925,bur,7
4,John Wayne Airport-Orange County,33.67803,-117.86368,sna,13
5,London Heathrow Airport,51.47115,-0.45649,lhr,5
6,Minneapolis-St Paul International Airport,44.88217,-93.20835,msp,6
7,Santa Barbara Municipal Airport,34.42611,-119.84125,sba,3
8,McCarran International Airport,36.08521,-115.15068,las,17
9,Aspen-Pitkin County Airport,39.22304,-106.86921,ase,2
10,Seattle-Tacoma International Airport,47.44899,-122.30929,sea,12
11,Palm Springs International Airport,33.82807,-116.50696,psp,8
12,Ontario International Airport,34.05584,-117.602,ont,3
13,Phoenix Sky Harbor International Airport,33.43551,-111.99807,phx,13
14,Austin-Bergstrom International Airport,30.19453,-97.66987,aus,6
15,Meadows Field Airport,35.43329,-119.0576,bfl,1
16,Lisbon Humberto Delgado Airport,38.78131,-9.13592,lis,1
17,Daniel K. Inouye International Airport,21.32452,-157.92507,hnl,7
18,Chicago O'Hare International Airport,41.97959,-87.90446,ord,12
19,Kona International Airport,19.73861,-156.04556,koa,3
20,Washington Dulles International Airport,38.94877,-77.4491,iad,8
21,Portland International Airport,45.58919,-122.59353,pdx,4
22,Tucson International Airport,32.11619,-110.94176,tus,3
23,Boise Air Terminal,43.56156,-116.23984,boi,6
24,Sacramento International Airport,38.69518,-121.59163,smf,2
25,Spokane International Airport,47.61986,-117.53384,geg,2
26,Kahului Airport,20.89861,-156.43028,ogg,5
27,San Diego International Airport,32.73235,-117.19744,san,16
28,Salt Lake City International Airport,40.78688,-111.98203,slc,11
29,Dublin Airport,53.42133,-6.27008,dub,2
30,Fresno Yosemite International Airport,36.77606,-119.71903,fat,4
31,Dallas/Fort Worth International Airport,32.89595,-97.0372,dfw,11
32,Istanbul Airport,41.2629,28.74242,ist,1
33,Arcata-Eureka Airport,40.97164,-124.10709,acv,2
34,Redding Municipal Airport,40.50876,-122.29445,rdd,2
35,San Antonio International Airport,29.53384,-98.47002,sat,1
36,Kansas City International Airport,39.29623,-94.71775,mci,1
37,Frankfurt Airport,50.0406,8.55603,fra,3
38,Reno/Tahoe International Airport,39.50597,-119.77312,rno,3
39,Lihue Airport,21.97583,-159.33861,lih,4
40,George Bush Intercontinental Airport,29.98687,-95.34212,iah,9
41,Amsterdam Airport Schiphol,52.3103,4.76028,ams,1
42,Rogue Valley International - Medford Airport,42.36955,-122.87311,mfr,2
43,Ben Gurion Airport,32.01361,34.88657,tlv,1
44,Zurich Airport,47.45264,8.5605,zrh,1
45,Paris Orly Airport,48.72528,2.35944,ory,1
46,Auckland International Airport,-37.00806,174.79167,akl,2
47,Copenhagen Airport,55.61792,12.65597,cph,1
48,Singapore Changi Airport,1.35514,103.99006,sin,4
49,Munich International Airport,48.35378,11.78609,muc,2
50,Roberts Field-Redmond Municipal Airport,44.25401,-121.14975,rdm,3
51,John F. Kennedy International Airport,40.63983,-73.77874,jfk,18
52,Chhatrapati Shivaji Maharaj International Airport,19.08869,72.86792,bom,1
53,Newark Liberty International Airport,40.69709,-74.17557,ewr,10
54,Ninoy Aquino Manila International Airport,14.50499,121.00445,mnl,1
55,Nadi International Airport,-17.75539,177.44338,nan,1
56,Pittsburgh International Airport,40.49608,-80.25547,pit,1
57,Miami International Airport,25.79343,-80.29005,mia,3
58,Detroit Metropolitan Wayne County Airport,42.22205,-83.35147,dtw,4
59,Charlotte Douglas International Airport,35.2207,-80.94413,clt,4
60,Hartsfield-Jackson Atlanta International Airport,33.64099,-84.42265,atl,6
61,John Glenn Columbus International Airport,39.99795,-82.88352,cmh,1
62,Toronto Pearson International Airport,43.68066,-79.61286,yyz,4
63,San Luis Obispo County Airport,35.23756,-120.64147,sbp,2
64,Benito Juarez International Airport,19.4363,-99.0721,mex,6
65,Sydney International Airport,-33.94611,151.17722,syd,1
66,Tampa International Airport,27.97558,-82.53287,tpa,3
67,Philadelphia International Airport,39.87835,-75.24018,phl,4
68,Fort Lauderdale-Hollywood International Airport,26.07147,-80.144,fll,5
69,Baltimore-Washington International Airport,39.17539,-76.66802,bwi,1
70,Indianapolis International Airport,39.71507,-86.29762,ind,1
71,Melbourne Airport,-37.67333,144.84333,mel,1
72,Cancun International Airport,21.03653,-86.87708,cun,4
73,Tan Son Nhat International Airport,10.8188,106.65186,sgn,1
74,Cleveland-Hopkins International Airport,41.41083,-81.84944,cle,1
75,Orlando International Airport,28.43103,-81.30768,mco,3
