,Airline,Arrival airport,Codesharing,Scheduled departure,delay,iataNumber,status
6,virgin atlantic,lhr,True,2023-09-03t17:01:00.000,9.0,vs20,active
12,air canada,yvr,True,2023-09-03t17:05:00.000,20.0,ac569,active
13,emirates,dxb,True,2023-09-03t17:05:00.000,33.0,ek226,active
17,delta air lines,slc,True,2023-09-03t17:18:00.000,29.0,dl2443,active
21,alaska airlines,sea,True,2023-09-03t17:20:00.000,12.0,as1099,active
22,zipair,nrt,True,2023-09-03t17:20:00.000,0.0,zg25,active
29,alaska airlines,aus,True,2023-09-03t17:30:00.000,7.0,as534,active
34,westjet,yyc,True,2023-09-03t17:30:00.000,13.0,ws1523,active
36,american airlines,phx,True,2023-09-03t17:31:00.000,17.0,aa2398,active
37,southwest airlines,bur,True,2023-09-03t17:40:00.000,12.0,wn1078,active
39,aer lingus,dub,True,2023-09-03t17:45:00.000,0.0,ei60,active
44,united airlines,ord,True,2023-09-03t17:47:00.000,13.0,ua1114,active
47,alaska airlines,pae,True,2023-09-03t17:50:00.000,6.0,as2326,active
48,sun country airlines,msp,True,2023-09-03t17:55:00.000,14.0,sy396,active
53,alaska airlines,lax,True,2023-09-03t18:00:00.000,9.0,as3421,active
56,alaska airlines,sna,True,2023-09-03t18:00:00.000,14.0,as3465,active
57,flair airlines,yvr,True,2023-09-03t18:15:00.000,12.0,f81849,active
61,united airlines,anc,True,2023-09-03t18:25:00.000,11.0,ua2481,active
63,frontier airlines,phx,True,2023-09-03t18:25:00.000,8.0,f92790,active
67,united airlines,sat,True,2023-09-03t18:25:00.000,13.0,ua2611,active
68,united airlines,psc,True,2023-09-03t18:25:00.000,6.0,ua5617,active
71,skywest airlines,boi,True,2023-09-03t18:25:00.000,22.0,oo5644,active
77,delta air lines,lax,True,2023-09-03t18:28:00.000,231.0,dl2606,active
80,united airlines,mci,True,2023-09-03t18:28:00.000,12.0,ua2061,active
85,united airlines,pdx,True,2023-09-03t18:30:00.000,13.0,ua477,active
87,turkish airlines,ist,True,2023-09-03t18:30:00.000,35.0,tk80,active
94,united airlines,lax,True,2023-09-03t18:30:00.000,24.0,ua1200,active
95,united airlines,sun,True,2023-09-03t18:30:00.000,20.0,ua4784,active
99,united airlines,yvr,True,2023-09-03t18:33:00.000,24.0,ua460,active
100,netjets aviation,sjc,True,2023-09-03t18:33:00.000,0.0,1i450,active
105,alaska airlines,san,True,2023-09-03t18:35:00.000,17.0,as3425,active
106,southwest airlines,phx,True,2023-09-03t18:35:00.000,6.0,wn4659,active
109,alaska airlines,anc,True,2023-09-03t18:40:00.000,4.0,as269,active
115,united airlines,iah,True,2023-09-03t18:41:00.000,8.0,ua514,active
121,united airlines,fat,True,2023-09-03t18:42:00.000,14.0,ua5373,active
124,united airlines,msp,True,2023-09-03t18:44:00.000,62.0,ua1554,active
131,united airlines,rno,True,2023-09-03t18:44:00.000,50.0,ua4787,active
134,united airlines,oma,True,2023-09-03t18:46:00.000,20.0,ua1620,active
138,united airlines,aus,True,2023-09-03t18:49:00.000,32.0,ua1117,active
145,united airlines,slc,True,2023-09-03t18:50:00.000,26.0,ua5590,active
146,southwest airlines,lax,True,2023-09-03t18:50:00.000,18.0,wn3764,active
148,united airlines,rdd,True,2023-09-03t18:51:00.000,17.0,ua4791,active
155,united airlines,sea,True,2023-09-03t18:55:00.000,22.0,ua645,active
159,united airlines,ogg,True,2023-09-03t18:55:00.000,12.0,ua1749,active
161,united airlines,bur,True,2023-09-03t18:59:00.000,106.0,ua4798,active
166,united airlines,den,True,2023-09-03t19:04:00.000,116.0,ua1216,active
168,frontier airlines,den,True,2023-09-03t19:05:00.000,8.0,f9662,active
175,united airlines,san,True,2023-09-03t19:09:00.000,15.0,ua2129,active
176,southwest airlines,bur,True,2023-09-03t19:15:00.000,68.0,wn3751,active
180,united airlines,fra,True,2023-09-03t19:15:00.000,10.0,ua926,active
184,alaska airlines,las,True,2023-09-03t19:20:00.000,11.0,as740,active
189,alaska airlines,psp,True,2023-09-03t19:20:00.000,7.0,as3447,active
195,united airlines,las,True,2023-09-03t19:24:00.000,31.0,ua725,active
199,air canada,yvr,True,2023-09-03t19:25:00.000,1.0,ac8841,active
204,british airways,lhr,True,2023-09-03t19:25:00.000,27.0,ba286,active
209,united airlines,sna,True,2023-09-03t19:30:00.000,95.0,ua2047,active
210,southwest airlines,san,True,2023-09-03t19:30:00.000,21.0,wn2613,active
215,united airlines,hnl,True,2023-09-03t19:33:00.000,11.0,ua1581,active
220,united airlines,lax,True,2023-09-03t19:45:00.000,11.0,ua2096,active
222,swiss,zrh,True,2023-09-03t19:50:00.000,34.0,lx39,active
229,united airlines,lhr,True,2023-09-03t19:50:00.000,37.0,ua930,active
232,alaska airlines,sea,True,2023-09-03t19:55:00.000,45.0,as1327,active
234,alaska airlines,boi,True,2023-09-03t19:55:00.000,0.0,as3337,active
235,southwest airlines,den,True,2023-09-03t19:55:00.000,8.0,wn5511,active
241,united airlines,phx,True,2023-09-03t19:56:00.000,6.0,ua683,active
245,air france,cdg,True,2023-09-03t20:00:00.000,45.0,af85,active
247,alaska airlines,rdm,True,2023-09-03t20:00:00.000,12.0,as2070,active
248,united airlines,tlv,True,2023-09-03t20:00:00.000,29.0,ua954,active
249,frontier airlines,las,True,2023-09-03t20:01:00.000,22.0,f92084,active
256,iberia,bcn,True,2023-09-03t20:10:00.000,220.0,ib2622,active
262,alaska airlines,san,True,2023-09-03t20:15:00.000,0.0,as3452,active
264,united airlines,acv,True,2023-09-03t20:16:00.000,13.0,ua4695,active
265,sas,cph,True,2023-09-03t20:25:00.000,22.0,sk936,active
269,united airlines,den,True,2023-09-03t20:27:00.000,77.0,ua1449,active
273,alaska airlines,sna,True,2023-09-03t20:30:00.000,14.0,as3478,active
277,united airlines,psp,True,2023-09-03t20:36:00.000,17.0,ua4727,active
283,alaska airlines,iad,True,2023-09-03t20:40:00.000,11.0,as475,active
285,alaska airlines,sea,True,2023-09-03t20:55:00.000,25.0,as1332,active
288,alaska airlines,geg,True,2023-09-03t20:55:00.000,6.0,as2041,active
289,air india,bom,True,2023-09-03t21:00:00.000,18.0,ai180,active
295,alaska airlines,bos,True,2023-09-03t21:00:00.000,14.0,as458,active
297,united airlines,yvr,True,2023-09-03t21:00:00.000,17.0,ua2178,active
302,lufthansa,muc,True,2023-09-03t21:10:00.000,18.0,lh459,active
308,delta air lines,jfk,True,2023-09-03t21:15:00.000,16.0,dl861,active
311,air canada,yyz,True,2023-09-03t21:15:00.000,19.0,ac746,active
317,alaska airlines,pdx,True,2023-09-03t21:15:00.000,8.0,as1153,active
319,alaska airlines,sea,True,2023-09-03t21:30:00.000,39.0,as1109,active
323,united airlines,ewr,True,2023-09-03t21:30:00.000,15.0,ua2097,active
328,united airlines,iad,True,2023-09-03t21:35:00.000,26.0,ua2046,active
331,alaska airlines,san,True,2023-09-03t21:55:00.000,6.0,as3327,active
336,jetblue airways,bos,True,2023-09-03t21:55:00.000,11.0,b634,active
337,american airlines,clt,True,2023-09-03t21:56:00.000,7.0,aa2373,active
342,air new zealand,akl,True,2023-09-03t22:00:00.000,46.0,nz7,active
344,singapore airlines,sin,True,2023-09-03t22:05:00.000,6.0,sq33,active
345,vietnam airlines,sgn,True,2023-09-03t22:10:00.000,6.0,vn99,active
346,frontier airlines,atl,True,2023-09-03t22:19:00.000,10.0,f91524,active
349,alaska airlines,jfk,True,2023-09-03t22:20:00.000,24.0,as38,active
350,frontier airlines,las,True,2023-09-03t22:20:00.000,64.0,f92076,active
356,virgin atlantic,lhr,True,2023-09-03t22:20:00.000,95.0,vs42,active
362,american airlines,jfk,True,2023-09-03t22:23:00.000,5.0,aa276,active
366,alaska airlines,ewr,True,2023-09-03t22:25:00.000,9.0,as374,active
368,united airlines,bfl,True,2023-09-03t22:35:00.000,612.0,ua5600,active
373,united airlines,eug,True,2023-09-03t22:36:00.000,104.0,ua5969,active
377,united airlines,mia,True,2023-09-03t22:39:00.000,92.0,ua564,active
380,united airlines,ewr,True,2023-09-03t22:40:00.000,32.0,ua2059,active
381,united airlines,cmh,True,2023-09-03t22:40:00.000,14.0,ua2607,active
383,united airlines,tpa,True,2023-09-03t22:40:00.000,24.0,ua2615,active
385,united airlines,sbp,True,2023-09-03t22:41:00.000,15.0,ua5446,active
388,united airlines,mfr,True,2023-09-03t22:43:00.000,24.0,ua5502,active
393,united airlines,smf,True,2023-09-03t22:43:00.000,85.0,ua5638,active
397,delta air lines,atl,True,2023-09-03t22:44:00.000,6.0,dl514,active
400,united airlines,mex,True,2023-09-03t22:45:00.000,16.0,ua412,active
403,united airlines,sea,True,2023-09-03t22:45:00.000,30.0,ua1971,active
405,united airlines,ont,True,2023-09-03t22:47:00.000,18.0,ua708,active
410,united airlines,lax,True,2023-09-03t22:47:00.000,20.0,ua1929,active
414,united airlines,cle,True,2023-09-03t22:48:00.000,17.0,ua1711,active
418,united airlines,rno,True,2023-09-03t22:48:00.000,9.0,ua5451,active
420,united airlines,ind,True,2023-09-03t22:50:00.000,32.0,ua1414,active
422,american airlines,phl,True,2023-09-03t22:55:00.000,18.0,aa756,active
423,united airlines,sin,True,2023-09-03t22:55:00.000,36.0,ua1,active
427,united airlines,syd,True,2023-09-03t22:55:00.000,21.0,ua863,active
428,united airlines,rdd,True,2023-09-03t22:55:00.000,23.0,ua5513,active
430,united airlines,yyz,True,2023-09-03t22:57:00.000,39.0,ua2056,active
434,united airlines,ord,True,2023-09-03t23:05:00.000,17.0,ua2423,active
439,united airlines,mco,True,2023-09-03t23:06:00.000,27.0,ua221,active
445,delta air lines,jfk,True,2023-09-03t23:10:00.000,28.0,dl767,active
449,united airlines,fll,True,2023-09-03t23:12:00.000,12.0,ua643,active
454,jetblue airways,fll,True,2023-09-03t23:13:00.000,84.0,b6278,active
457,united airlines,bos,True,2023-09-03t23:15:00.000,26.0,ua1665,active
460,united airlines,iad,True,2023-09-03t23:16:00.000,12.0,ua2247,active
463,alaska airlines,jfk,True,2023-09-03t23:20:00.000,15.0,as42,active
465,french bee,ppt,True,2023-09-03t23:20:00.000,39.0,bf710,active
467,alaska airlines,ord,True,2023-09-03t23:25:00.000,15.0,as470,active
471,united airlines,mry,True,2023-09-03t23:25:00.000,14.0,ua5614,active
474,asiana airlines,icn,True,2023-09-03t23:30:00.000,31.0,oz211,active
476,united airlines,mel,True,2023-09-03t23:30:00.000,41.0,ua60,active
479,united airlines,phl,True,2023-09-03t23:30:00.000,28.0,ua2630,active
483,united airlines,ord,True,2023-09-03t23:45:00.000,31.0,ua476,active
484,united airlines,hkg,True,2023-09-03t23:45:00.000,38.0,ua877,active
485,united airlines,cun,True,2023-09-03t23:45:00.000,20.0,ua1145,active
488,united airlines,ewr,True,2023-09-03t23:45:00.000,15.0,ua1831,active
491,united airlines,msy,True,2023-09-03t23:47:00.000,16.0,ua1559,active
494,united airlines,iah,True,2023-09-03t23:50:00.000,45.0,ua505,active
496,united airlines,pit,True,2023-09-03t23:50:00.000,5.0,ua1204,active
498,aeromexico,mex,True,2023-09-03t23:53:00.000,17.0,am665,active
499,philippine airlines,mnl,True,2023-09-03t23:55:00.000,0.0,pr105,active
502,united airlines,bne,True,2023-09-03t23:55:00.000,29.0,ua96,active
504,united airlines,icn,True,2023-09-03t23:55:00.000,22.0,ua805,active
510,american airlines,mia,True,2023-09-03t23:58:00.000,26.0,aa2389,active
511,american airlines,clt,True,2023-09-03t23:59:00.000,41.0,aa1828,active
516,american airlines,ord,True,2023-09-03t23:59:00.000,14.0,aa2828,active
523,jetblue airways,jfk,True,2023-09-03t23:59:00.000,24.0,b61216,active
525,frontier airlines,mco,True,2023-09-03t23:59:00.000,19.0,f91262,active
526,sun country airlines,msp,True,2023-09-03t23:59:00.000,20.0,sy398,active
531,united airlines,dfw,True,2023-09-03t23:59:00.000,22.0,ua1765,active
532,delta air lines,msp,True,2023-09-04t00:15:00.000,11.0,dl1081,active
535,united airlines,iah,True,2023-09-04t00:40:00.000,30.0,ua2315,active
538,cathay pacific,hkg,True,2023-09-04t00:55:00.000,36.0,cx873,active
543,eva air,tpe,True,2023-09-04t01:00:00.000,21.0,br17,active
545,china airlines,tpe,True,2023-09-04t01:05:00.000,22.0,ci3,active
547,sa avianca,sal,True,2023-09-04t01:15:00.000,0.0,av561,active
552,eva air,tpe,True,2023-09-04t01:20:00.000,28.0,br27,active
555,copa airlines,pty,True,2023-09-04t01:20:00.000,24.0,cm383,active
557,ana,hnd,True,2023-09-04t01:20:00.000,20.0,nh107,active
558,air china ltd,pek,True,2023-09-04t01:30:00.000,0.0,ca786,active
559,asiana airlines,icn,True,2023-09-04t02:30:00.000,21.0,oz283,active
560,korean air,icn,True,2023-09-04t03:25:00.000,0.0,ke214,active
563,united airlines,iah,True,2023-09-04t05:00:00.000,23.0,ua274,active
567,united airlines,ord,True,2023-09-04t05:15:00.000,9.0,ua2631,active
571,united airlines,den,True,2023-09-04t05:20:00.000,7.0,ua2087,active
572,american airlines,phx,True,2023-09-04t05:36:00.000,5.0,aa3006,active
574,frontier airlines,den,True,2023-09-04t05:45:00.000,9.0,f9664,active
575,southwest airlines,las,True,2023-09-04t05:50:00.000,4.0,wn5101,active
576,american airlines,clt,True,2023-09-04t05:51:00.000,7.0,aa2798,active
583,american airlines,ord,True,2023-09-04t05:55:00.000,11.0,aa2614,active
586,american airlines,dfw,True,2023-09-04t06:00:00.000,19.0,aa1198,active
591,alaska airlines,sea,True,2023-09-04t06:00:00.000,8.0,as1043,active
592,alaska airlines,pae,True,2023-09-04t06:00:00.000,18.0,as2424,active
597,alaska airlines,lax,True,2023-09-04t06:00:00.000,20.0,as3439,active
599,alaska airlines,san,True,2023-09-04t06:00:00.000,5.0,as3443,active
605,jetblue airways,bos,True,2023-09-04t06:00:00.000,11.0,b6434,active
613,jetblue airways,jfk,True,2023-09-04t06:00:00.000,23.0,b6816,active
621,delta air lines,jfk,True,2023-09-04t06:00:00.000,7.0,dl561,active
627,delta air lines,atl,True,2023-09-04t06:00:00.000,12.0,dl690,active
630,united airlines,lax,True,2023-09-04t06:00:00.000,94.0,ua1140,active
639,american airlines,jfk,True,2023-09-04t06:03:00.000,42.0,aa234,active
643,delta air lines,slc,True,2023-09-04t06:05:00.000,16.0,dl2356,active
644,southwest airlines,lax,True,2023-09-04t06:05:00.000,12.0,wn5471,active
647,air canada,yyz,True,2023-09-04t06:15:00.000,17.0,ac736,active
650,alaska airlines,ewr,True,2023-09-04t06:15:00.000,25.0,as292,active
653,united airlines,san,True,2023-09-04t06:16:00.000,18.0,ua1788,active
658,united airlines,ord,True,2023-09-04t06:19:00.000,16.0,ua1092,active
659,southwest airlines,den,True,2023-09-04t06:20:00.000,13.0,wn2508,active
664,delta air lines,lax,True,2023-09-04t06:25:00.000,21.0,dl2841,active
667,american airlines,phl,True,2023-09-04t06:28:00.000,14.0,aa1443,active
672,delta air lines,sea,True,2023-09-04t06:30:00.000,14.0,dl2310,active
676,united airlines,den,True,2023-09-04t06:30:00.000,1.0,ua513,active
680,delta air lines,msp,True,2023-09-04t06:35:00.000,11.0,dl1768,active
682,alaska airlines,sna,True,2023-09-04t06:40:00.000,11.0,as3440,active
685,air canada,yvr,True,2023-09-04t06:45:00.000,16.0,ac8843,active
687,air transat,yul,True,2023-09-04t06:50:00.000,18.0,ts235,active
688,southwest airlines,san,True,2023-09-04t06:55:00.000,0.0,wn2522,active
689,american airlines,clt,True,2023-09-04t07:00:00.000,27.0,aa1960,active
692,alaska airlines,jfk,True,2023-09-04t07:00:00.000,13.0,as28,active
696,alaska airlines,hnl,True,2023-09-04t07:00:00.000,18.0,as870,active
698,alaska airlines,pdx,True,2023-09-04t07:00:00.000,11.0,as2090,active
706,united airlines,ewr,True,2023-09-04t07:00:00.000,16.0,ua1411,active
709,alaska airlines,las,True,2023-09-04t07:05:00.000,13.0,as3384,active
710,hawaiian airlines,ogg,True,2023-09-04t07:10:00.000,4.0,ha41,active
711,southwest airlines,lax,True,2023-09-04t07:10:00.000,6.0,wn459,active
717,alaska airlines,lax,True,2023-09-04t07:15:00.000,16.0,as1308,active
718,jetblue airways,lax,True,2023-09-04t07:15:00.000,41.0,b62835,active
719,american airlines,phx,True,2023-09-04t07:20:00.000,1.0,aa2411,active
727,delta air lines,jfk,True,2023-09-04t07:20:00.000,12.0,dl352,active
730,american airlines,dfw,True,2023-09-04t07:26:00.000,12.0,aa2904,active
734,alaska airlines,aus,True,2023-09-04t07:30:00.000,13.0,as512,active
735,southwest airlines,bur,True,2023-09-04t07:30:00.000,4.0,wn3751,active
739,westjet,yyc,True,2023-09-04t07:30:00.000,7.0,ws1521,active
744,alaska airlines,bos,True,2023-09-04t07:40:00.000,8.0,as356,active
747,united airlines,iah,True,2023-09-04t07:41:00.000,15.0,ua1946,active
748,united airlines,bur,True,2023-09-04t07:44:00.000,20.0,ua2545,active
754,alaska airlines,ogg,True,2023-09-04t07:55:00.000,6.0,as879,active
757,united airlines,lax,True,2023-09-04t07:57:00.000,27.0,ua1690,active
760,united airlines,sna,True,2023-09-04t07:59:00.000,9.0,ua5386,active
764,air canada,yul,True,2023-09-04t08:00:00.000,7.0,ac760,active
765,united airlines,hkg,True,2023-09-04t08:00:00.000,11.0,ua3938,active
771,american airlines,mia,True,2023-09-04t08:02:00.000,7.0,aa651,active
772,alaska airlines,sna,True,2023-09-04t08:05:00.000,5.0,as3450,active
780,delta air lines,atl,True,2023-09-04t08:05:00.000,11.0,dl437,active
783,alaska airlines,dca,True,2023-09-04t08:15:00.000,18.0,as8,active
